feature,importance
underwriting_score,0.17228799623763422
interest_rate,0.16025867752168665
risk_band_Critical,0.1361297380741398
credit_score,0.06063916344418361
employment_type_Salaried,0.045725090761067504
debt_to_income_ratio,0.043471531263452705
risk_band_Medium,0.03923046016133737
risk_band_Low,0.03619073519268792
risk_band_High,0.031883197513907224
monthly_income,0.03186407355894797
emi_amount,0.02589085458176704
loan_to_income_ratio,0.023463359906070826
principal_amount,0.02123473821719595
years_employed,0.018639111640700583
bank_account_age_months,0.018465792874187027
age,0.01546946226092508
tenure_months,0.01140710747176035
employment_type_Gig Worker,0.010640128512678987
employment_type_Contract Worker,0.010024161713951448
loan_product_Business Micro-loan,0.007333855588142044
income_band_Upper Mass,0.005292285470953111
income_band_Mass Market,0.00484153143877261
loan_product_Consumer Durable Loan,0.004279053934069248
state_Uttar Pradesh,0.003115789937905742
employment_type_Small Business Owner,0.00304575899831372
loan_product_Personal Loan,0.0030104464907030563
employment_type_Self-employed,0.002932027240235507
acquisition_channel_Mobile App,0.0028011781143691054
acquisition_channel_Website,0.0022268867976340105
occupation_category_Finance and Accounting,0.002196033495421886
state_Tamil Nadu,0.0019297957725556896
purpose_category_Utility Bills,0.001928570667301379
loan_product_Salary Advance,0.0018857719825583913
occupation_category_Other Services,0.0017208395543700367
acquisition_channel_DSA Agent,0.001613094689548383
occupation_category_Delivery and Mobility,0.0015417962663269481
occupation_category_Healthcare,0.0015363735965236382
income_band_Affluent,0.0014748625778766226
state_Karnataka,0.001458696976205621
acquisition_channel_Partner Marketplace,0.0014094949929689413
occupation_category_IT and Services,0.0013881836324790876
state_Telangana,0.0013498598504939766
income_band_Low Income,0.0013063253674907296
occupation_category_Sales and Retail,0.0012814023850977623
purpose_category_Emergency Expense,0.001250477063253566
state_Maharashtra,0.0012348237834614714
occupation_category_Education,0.0011712322427232362
occupation_category_Manufacturing,0.00111512282496164
occupation_category_Small Business,0.0010921751260461153
state_Delhi,0.0009057812862895331
purpose_category_Rent Payment,0.0008130557487455956
purpose_category_Electronics,0.0007720789151660069
acquisition_channel_Referral,0.0007678514169272364
purpose_category_Home Appliance,0.000765667217219118
acquisition_channel_Paid Search,0.0007330854894066634
occupation_category_Food and Hospitality,0.0006722681812724641
purpose_category_Education,0.0006605647497298716
state_West Bengal,0.0006229959410681752
purpose_category_Mobile Phone,0.0006035608844759222
purpose_category_Laptop,0.0006015256083670166
acquisition_channel_Social Media,0.000592202806449197
purpose_category_Furniture,0.0005819990289882291
purpose_category_Travel,0.0005758560762368817
purpose_category_Home Improvement,0.0005530278705591297
state_Rajasthan,0.0005447176972689685
occupation_category_Freelance Services,0.0005358699338964622
purpose_category_Debt Consolidation,0.0005342966703006457
purpose_category_Family Event,0.00047933880657213536
occupation_category_Retail Business,0.00047761612457461407
purpose_category_Monthly Cashflow,0.00047372032904714116
state_Gujarat,0.0004729265011062463
purpose_category_Medical Expense,0.00045651900356958854
state_Kerala,0.0004077213762280179
purpose_category_Equipment Purchase,0.00040218260340687146
state_Andhra Pradesh,0.00038677998840158873
state_Madhya Pradesh,0.0003838565865368754
occupation_category_Operations Support,0.0003620708355862395
purpose_category_Festival Expense,0.00032096537649310583
purpose_category_Business Expansion,0.00031141502208372124
occupation_category_Transport and Logistics,0.00030055438527692773
purpose_category_Shop Renovation,0.00029911055942157065
occupation_category_Professional Services,0.0002742426675258193
occupation_category_Construction,0.00017676225873602117
occupation_category_Services Business,0.00017361767509140415
occupation_category_Trading,0.00015826152987514293
purpose_category_Working Capital,0.00011776084607978184
purpose_category_Inventory Purchase,4.9044234974593975e-05
income_band_High Income,0.0
occupation_category_Unknown,0.0
purpose_category_Unknown,0.0
